School,Test Optional?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th-75th Percentile,ACT Total 25th-75th Percentile
Chapman University,Yes,All / Permanent Policy,Chapman offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who graduate from schools without traditional grades are not eligible for test optional admission.,14198,53.6%,1190-1370,25-30
Ohio State University—​Columbus,Yes,2021,OSU has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However home-schooled students and students who attend a non-chartered high school are not eligible for test optional admission.,47703,53.7%,1250-1460,28-32
Texas Lutheran University,Yes,2021,Texas Lutheran University has adopted a one-year test optional policy for domestic first-year applicants in the 2020-21 admission cycle.,2198,54.3%,990-1160,19-25
University at Albany—​SUNY,Yes,2021,The University at Albany-SUNY has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,27529,54.3%,1090-1250,22-28
Georgia Southern,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,13858,54.5%,1050-1200,20-25
College of Wooster,Yes,All / Permanent Policy,The College of Wooster offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,6352,54.7%,1150-1380,24-31
San Jose State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,36243,54.7%,1040-1260,19-26
California State Polytechnic University--Pomona,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,36660,55.5%,1030-1250,19-27
Whitman College,Yes,All / Permanent Policy,Whitman College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are strongly encouraged to submit SAT or ACT scores.,4832,55.8%,1240-1450,28-33
Sarah Lawrence College,Yes,All / Permanent Policy,Sarah Lawrence College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3325,55.8%,1240-1420,27-32
New School,Yes,All / Permanent Policy,The New School offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,9911,56.6%,1150-1360,24-30
University of Pittsburgh,Yes,2021,University of Pittsburgh has adopted a one-year test optional policy for Fall 2021 applicants to the Dietrich School however students applying to the Business Computing & Information Engineering and Nursing schools are still required to submit scores.,32091,56.7%,1260-1440,28-33
University of California Riverside,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,49788,56.7%,1130-1340,24-30
University of Minnesota—​Twin Cities,Yes,2021,University of Minnesota-Twin Cities has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,40673,56.7%,1260-1480,26-31
Hobart and William Smith Colleges,Yes,All / Permanent Policy,Hobart and William Smith Colleges offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,4526,56.9%,1203-1360,27-30
Abilene Christian University,Yes,2021,Abilene Christian University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,11569,57.0%,1040-1230,21-27
Bennington College,Yes,All / Permanent Policy,Bennington has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,1494,57.0%,1230-1390,28-32
Birmingham-​Southern College,Yes,All / Permanent Policy,Birmingham-Southern College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However applicants who select test optional admission are required to have an interview with an admissions counselor.,3628,57.0%,1040-1250,22-28
Fairfield University,Yes,All / Permanent Policy,Fairfield University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12315,57.1%,1210-1350,26-30
Georgia State,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,19838,57.4%,990-1190,21-26
Texas A&M University—​College Station,Yes,2021,Texas A&M University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,42899,57.5%,1160-1390,26-31
Saint Louis University,Yes,2021,Saint Louis University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,15120,57.5%,1180-1370,25-31
St. John's College Annapolis,Yes,All / Permanent Policy,St. John's College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students and students who will not earn high school diplomas are not eligible for test optional admission. Most international students are not eligible for test optional admission.,913,57.6%,1210-1450,24-33
Lake Forest College,Yes,All / Permanent Policy,Lake Forest College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants must complete an interview. Homeschooled students are not eligible for test optional admission.,4147,57.9%,1110-1310,23-29
Kennesaw State University,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,13427,57.9%,1080-1270,21-26
California State University--Fresno,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,18122,57.9%,950-1130,16-22
Rollins College,Yes,All / Permanent Policy,Rollins offers a test optional policy ("test scores waived option") which allows students to be considered for admission without SAT or ACT scores. However applicants to the 3/2 Accelerated Management Program or the Honors Degree Program must submit test scores.,6167,58.3%,1160-1340,24-30
University of Hawaii at Manoa,Yes,2021,University of Hawaii has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,16244,58.4%,1070-1270,21-26
University of Denver,Yes,All / Permanent Policy,University of Denver offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,21028,58.7%,1170-1350,26-31
Hampden-​Sydney College,Yes,2021,Hampden-Sydney College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,3240,59.0%,1050-1250,21-27
University of Illinois—​Urbana-​Champaign,Yes,2021,University of Illinois--Urbana-Champaign has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,43509,59.0%,1220-1480,27-33
Millsaps College,Yes,2021,Millsaps College has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,4161,59.3%,1080-1260,22-28
California State University--Northridge,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,30637,59.3%,910-1130,16-22
Clark University,Yes,All / Permanent Policy,Clark University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,7687,59.4%,1200-1390,28-31
Lipscomb University,Yes,2021,Lipscomb University has adopted a one-year test optional policy for first-year applicants entering in Spring and Fall 2021.,3638,59.5%,1060-1320,22-29
Virginia Military Institute,Yes,2021,The Virginia Military Institute has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1515,59.5%,1090-1270,21-28
Purdue University—​West Lafayette,Yes (TF),2021,Purdue University has adopted a one-year Test Flexible policy which means that while they prefer students submit SAT or ACT scores applications will still be evaluated without them for students who couldn't test. This policy applies to the Spring Summer and Fall 2021 terms.,54912,59.8%,1190-1440,25-32
Temple University,Yes,All / Permanent Policy,Temple University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However home-schooled applicants recruited student athletes and international applicants are not eligible for test optional admission.,35599,60.0%,1120-1320,24-30
Rutgers The State University of New Jersey—​New Brunswick,Yes,2021,Rutgers has adopted a one-year test optional policy for in the 2020-21 admission cycle.,41348,60.1%,1190-1410,25-31
Illinois Institute of Technology,Yes,2021,Illinois Institute of Technology has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,5049,60.2%,1190-1400,26-32
Yeshiva University,Yes,2021,Yeshiva has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,1508,60.3%,1140-1400,22-30
Illinois Wesleyan University,Yes,2021,Illinois Wesleyan has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Test optional applicants must have an interview with their admissions counselor and submit an essay.,3719,60.8%,1120-1320,24-29
Furman University,Yes,All / Permanent Policy,Furman University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5469,61.1%,1230-1410,28-32
University at Buffalo—​SUNY,Yes,2021,University at Buffalo-SUNY has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,29900,61.1%,1160-1340,24-29
Concordia College—​Moorhead,Yes,All / Permanent Policy,Concordia College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,4160,61.2%,1080-1368,21-27
SUNY College of Environmental Science and Forestry,Yes,2021,SUNY College of Environmental Science and Forestry has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,2018,61.4%,1120-1310,23-29
University of Portland,Yes,2021,University of Portland has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,14505,61.5%,1160-1330,23-29
Cornell College,Yes,All / Permanent Policy,Cornell College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Students who apply test optional are expected to respond to two additional written prompts on their applications and to submit portfolios.,3118,61.8%,1100-1345,23-29
Muhlenberg College,Yes,All / Permanent Policy,Muhlenberg College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,4146,61.8%,1170-1360,26-30
Gonzaga University,Yes,2021,Gonzaga University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9279,61.9%,1210-1358,25-30
Beloit College,Yes,All / Permanent Policy,Beloit offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3657,62.0%,1080-1380,24-30
Lawrence University,Yes,All / Permanent Policy,Lawrence University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3463,62.1%,1200-1430,25-32
University of Utah,Yes,2021 2022 2023,The University of Utah has adopted a test optional policy for students applying through Fall 2023. However students who have GEDs who attend a non-accredited high school or who are applying for direct admission into select programs are not eligible for TO. Test scores are also required for merit scholarships.,24404,62.1%,1142.5-1380,22-29
Allegheny College,Yes,All / Permanent Policy,Allegheny College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students are not eligible for test optional admission.,5208,62.2%,1170-1360,24-30
University of Delaware,Yes,2021,University of Delaware has adopted a one-year test optional policy for all students applying to the Spring and Fall 2021 terms.,27691,62.4%,1170-1350,25-30
Westmont College,Yes,2021,Westmont College has adopted a one-year test optional policy for student applying to the Spring and Fall 2021 semesters.,2937,62.4%,1110-1370,23-30
Luther College,Yes,2021,Luther College has adopted a one-year test optional policy for Fall 2021 applicants.,4422,62.6%,1050-1310,23-29
Rutgers The State University of New Jersey—​Newark,Yes,2021,Rutgers has adopted a one-year test optional policy for in the 2020-21 admission cycle.,13259,62.7%,1020-1190,19-24
Earlham College,Yes,All / Permanent Policy,Earlham offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,2070,63.4%,1100-1370,23-30
Augustana College,Yes,All / Permanent Policy,Augustana College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants may be asked to complete an interview. However homeschooled applicants and international applicants are not eligible for test optional admission.,6211,63.6%,1070-1280,22-29
Wofford College,Yes,All / Permanent Policy,Wofford College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However international students are not eligible for test optional admission.,3522,63.6%,1180-1350,27-30
New Jersey Institute of Technology,Yes,2021,The New Jersey Institute of Technology has adopted a one-year test optional policy for applicants applying in the 2020-21 admissions cycle.,8123,63.7%,1190-1380,25-30
University of Massachusetts—​Amherst,Yes,2021 2022 2023,UMass Amherst has adopted a three-year test optional policy beginning with the 2020-21 admission cycle. They will reevaluate their policy after the three-year period.,42157,63.8%,1190-1390,26-32
Wabash College,Yes,2021,Wabash has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1307,64.2%,1120-1320,23-29
DePauw University,Yes,All / Permanent Policy,DePauw University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who wish to apply for an Honor Scholar or Fellows program are not eligible for test optional admission.,4935,64.4%,1130-1360,23-30
Drury University,Yes,All / Permanent Policy,Drury University offers a test optional policy which allows domestic students to be considered for admission without SAT or ACT scores.,1664,64.4%,1045-1225,22-28
St. John Fisher College,Yes,2021 2022,St. John Fisher College has adopted a two-year test optional policy beginning with the 2020-21 admission cycle. They will reevaluate their policy after two years.,4720,64.5%,1070-1260,21-26
University of San Francisco,Yes,All / Permanent Policy,University of San Francisco offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,18411,64.6%,1130-1330,23-29
Bard College,Yes,All / Permanent Policy,Bard College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5141,64.6%,1248-1420,27-31
Goshen College,Yes,2021,Goshen has adopted a one-year test optional policy for students applying to enroll in Fall 2021.,1278,64.7%,1010-1210,21-29
Agnes Scott College,Yes,All / Permanent Policy,Agnes Scott College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,1751,64.8%,1130-1340,24-30
Virginia Polytechnic Institute and State University,Yes,2021,Virginia Polytechnic Institute and State University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,31936,64.8%,1180-1390,25-31
University of Houston,Yes,2021,University of Houston has adopted a one-year test optional policy for all first-year applicants applying in the 2020-21 admission cycle. Applicants electing TO must submit 2 letters of support a personal statement and a resumé.,25393,65.0%,1140-1310,22-27
University of North Carolina—​Charlotte,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,21867,65.0%,1120-1290,22-26
Truman State University,Yes (TF),2021,Truman State University has adopted a one-year Test Flexible policy which means that while they prefer students submit SAT or ACT scores applications will still be evaluated without them for students who couldn't test. Students applying without test scores must submit an essay and may be asked to provide additional information. Test scores are required to be eligible for some scholarships or programs.,4568,65.3%,1080-1358,24-30
University of North Carolina—​Wilmington,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,13287,65.5%,1170-1320,22-27
SUNY—​Geneseo,Yes,2021,SUNY-Geneseo has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,10433,65.5%,1120-1310,23-28
Embry-​Riddle Aeronautical University,Yes,All / Permanent Policy,Embry-Riddle Aeronautical University offers a test optional policy which allows most students to be considered for admission without SAT or ACT scores. Homeschooled students must provide SAT or ACT scores and show academic strength through SAT Subject Tests and/or AP Exams.,6017,65.5%,1110-1320,22-29
University of the Pacific,Yes,All / Permanent Policy,University of the Pacific offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13096,65.6%,1130-1360,23-31
Rochester Institute of Technology,Yes,All / Permanent Policy,Rochester Institute of Technology offers a test optional policy which allows students applying to most programs to be considered for admission without SAT or ACT scores. Students applying to imaging science motion picture science and photographic sciences within the College of Art & Design must still provide test scores,18948,66.0%,1200-1400,27-32
Berry College,Yes,All / Permanent Policy,Berry College offers a test optional policy which allows students to apply without standardized test scores.,3970,66.1%,1110-1310,23-29
Mississippi State University,Yes,2021,Mississippi State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18269,66.3%,1070-1280,22-30
Sewanee—​University of the South,Yes,All / Permanent Policy,Sewanee--The University of the South offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3545,66.7%,1150-1340,25-30
Hanover College,Yes,All / Permanent Policy,Hanover College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,7795,66.9%,1078-1300,22-28
Coe College,Yes*,All / Permanent Policy,Coe College requires either the SAT or ACT however it will waive this requirement if you have a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,7795,66.9%,1078-1300,22-28
Randolph-​Macon College,Yes,2021,Randolph-Macon College has adopted a one-year test optional policy for students applying to the Fall 2021 semester. However students applying to direct entry Bachelor of Science in Nursing program must submit scores.,2907,67.1%,1020-1240,20-27
Loyola University Chicago,Yes,All / Permanent Policy,Loyola University Chicago offers a test optional policy which allows students to be considered for admission without standardized test scores. However students applying for admission to the Bachelor of Nursing and Engineering Science programs will still be required to submit a self-reported test score as part of the requirement for review.,25583,67.2%,1140-1320,25-30
University of Vermont,Yes,2021,University of Vermont has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19233,67.3%,1180-1360,26-31
San Francisco State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,34629,67.3%,940-1150,17-23
Brigham Young University—​Provo,Yes,2021,BYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,10500,67.5%,1210-1420,26-31
Drake University,Yes,All / Permanent Policy,Drake University offers a test optional policy which it refers to as a "test-flexible" plan which allows students to either write an essay or sit for an interview in lieu of submitting test scores. However homeschooled students as well as applicants to certain programs are not eligible for test optional admission.,6944,67.6%,1100-1370,24-31
Stonehill College,Yes,All / Permanent Policy,Stonehill College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,6961,67.7%,1120-1290,24-28.5
Elmhurst College,Yes,2021,Elmhurst has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Students who choose to apply TO will be required to submit an essay.,4175,67.8%,990-1210,20-26
Taylor University,Yes,All / Permanent Policy,Taylor University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Students who choose not to submit scores may be asked to provide more information or complete proficiency exams.,2341,68.1%,1080-1310,22-28
DePaul University,Yes,All / Permanent Policy,DePaul University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Subject Tests are not required. However homeschooled students and international students are not eligible for test optional admission.,26895,68.2%,1070-1290,--
Knox College,Yes,All / Permanent Policy,Knox College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3397,68.3%,1090-1350,24-31
Hofstra University,Yes,All / Permanent Policy,Hofstra Univeristy offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,24425,68.5%,1160-1340,25-30
Ithaca College,Yes,All / Permanent Policy,Ithaca College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,15278,68.5%,1160-1338,25-30
California State University--San Bernardino,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,16307,68.6%,910-1090,15-19
University of South Carolina,Yes,2021,The University of South Carolina has adopted a one-year test optional policy for students applying for 2021 admission.,31268,68.6%,1180-1370,25-31
Albion College,Yes,2021,Albion College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,4043,68.8%,990-1200,21-27
Presbyterian College (SC),Yes,All / Permanent Policy,Presbyterian College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,2462,68.8%,1010-1210,19-25
Texas Tech University,Yes,2021,Texas Tech University has adopted a one-year test optional policy for both domestic and international first-year applicants ientering in the Fall of 2021. It is highly encouraged to submit an SAT/ACT score if an applicant is able to do so in order to qualify for scholarships. It does not require the SAT Essay or ACT Writing Test.,25384,68.9%,1070-1260,22-27
Ohio Wesleyan University,Yes,All / Permanent Policy,Ohio Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,4705,69.0%,1060-1295,22-28
Ripon College,Yes,All / Permanent Policy,Ripon College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,2619,69.0%,1000-1210,20-27
Drew University,Yes,All / Permanent Policy,Drew University offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,3788,69.2%,1110-1310,25-30
Gustavus Adolphus College,Yes,All / Permanent Policy,Gustavus Adolphus College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,4957,69.2%,--,25-30
Central Michigan,Yes,2021,Central Michigan University has adopted a one-year test optional policy for students entering in 2021. However homeschooled students or students whose high schools do not provide grades are not eligible for TO admission.,16411,69.5%,990-1200,20-26
Oklahoma State University,Yes,2021,Oklahoma State University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Students applying without test scores must submit essays and other supplemental documents. Test scores are required for most university scholarships.,15277,70.0%,1040-1265,21-28
Bradley University,Yes,All / Permanent Policy,Bradley University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,10708,70.2%,1070-1270,22-28
Seton Hall University,Yes,2021,Seton Hall University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19260,70.4%,1150-1310,24-28
Biola University,Yes,2021,Biola University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,4149,70.5%,1080-1310,21-28
Ursinus College,Yes,All / Permanent Policy,Ursinus College has a test-optional policy which allows students to be considered for admissions without submitting SAT or ACT scores. However homeschooled applicants and applicants with narrative-style transcripts are not eligible for test optional admission.,3361,70.9%,1140-1320,23-28
Montclair State,Yes,All / Permanent Policy,Montclair State offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,14324,70.9%,990-1170,--
Clarkson University,Yes,2021,Clarkson University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6885,71.1%,1160-1350,24-30
Michigan State University,Yes,2021,Michigan State has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. However homeschooled students are not eligible for test optional admission.,44322,71.1%,1100-1320,23-29
Hollins University,Yes,2021,Hollins University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,3244,71.2%,1070-1300,22-30
Creighton University,Yes,All / Permanent Policy,Creighton offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the nursing program and homeschooled students are not eligible for test optional admission.,10112,71.4%,1150-1350,24-30
California Lutheran University,Yes,All / Permanent Policy,California Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission and test scores are required to qualify for some merit scholarships.,5752,71.5%,1070-1250,21-26
University of Mary Washington,Yes,All / Permanent Policy,The University of Mary Washington offers a test optional policy which allows students to petition to be considered for admission without SAT or ACT scores. However students applying for the Pre-Nursing Program or merit based scholarships and homeschooled students are not eligible for test choice.,5909,71.8%,1050-1269,22-29
Christopher Newport University,Yes*,All / Permanent Policy,Christopher Newport University requires either the SAT or ACT however they will waive this requirement for students with a 3.5+ GPA or who rank in the top 10% of their class. For students applying in the 2020-21 admission cycle there is no minimum GPA for test optional admission.,7204,71.9%,1110-1280,22-27
University of California—Merced,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,25368,72.0%,980-1180,17-22
Mercer University,Yes,2021 2022 2023,Mercer University has adopted a three-year test optional policy. After Fall 2023 they will reevaluate.,5454,72.0%,1180-1340,25-30
University of Dayton,Yes,2021,The University of Dayton has adopted a test-flexible policy for high school juniors applying for its fall 2021 entering class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,17462,72.0%,1120-1320,23-29
Lewis & Clark College,Yes,All / Permanent Policy,Lewis and Clark offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Prior to the 2020-21 admission cycle students who chose not to submit standardized test scores had to submit an academic portfolio in lieu of scores. However students will no longer be required to submit a portfolio.,5863,72.2%,1220-1400,27-31
Hendrix College,Yes,All / Permanent Policy,Hendrix College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students who are native speakers of English are not eligible for test optional admission.,1545,72.2%,1153-1390,26-32
University of Rhode Island,Yes,2021,University of Rhode Island has adopted a one-year test optional policy for applicants to the Spring and Fall 2021 semesters.,21259,72.3%,1012-1345,20-29
California State University--Chico,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,25908,72.3%,990-1180,18-24
Stetson University,Yes,All / Permanent Policy,Stetson University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13005,72.4%,1110-1300,22-29
Quinnipiac University,Yes,All / Permanent Policy,Quinnipiac University offers a test optional policy which allows most students applying to the College of Arts and Sciences School of Business School of Communications and School of Engineering to be considered for admission without SAT or ACT scores. Homeschooled students and students playing a Division I sport must provide test scores.,22753,72.5%,1090-1260,23-28
Duquesne University,Yes,All / Permanent Policy,Duquesne offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,7411,72.5%,1130-1300,23-28
University of Illinois—​Chicago,Yes,2021,The University of Illinois-Chicago has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,22696,72.7%,1030-1260,21-28
University of Akron,Yes,2021,The University of Akron has adopted a test optional policy for first year applicants both domestic and international in the 2020-21 admission cycle.,14553,73.0%,990-1230,19-25
St. John's University (NY),Yes,All / Permanent Policy,St. John's University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students some international students students applying for several specific majors and prospective student athletes are not eligible for test optional admission.,27276,73.1%,1070-1270,23-29
University of Cincinnati,Yes,2021 2022,The University of Cincinnati has adopted a two-year test optional policy beginning with the 2020-2021 admission cycle. However standardized test scores are still required for admission into some programs.,23296,73.1%,1160-1370,24-29
Simmons University,Yes,2021,Simmons University State has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,2933,73.1%,1110-1290,23-29
Wayne State University,Yes,2021,WSU has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,15716,73.1%,1010-1230,21-27
Butler University,Yes,All / Permanent Policy,Butler University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants who major in Pre-Pharmacy Health Sciences and Healthcare and Business programs students who attend secondary schools that do not provide letter grades homeschooled students and transfer applicants who have completed fewer than 20 college credits are not eligible for test optional admission.,14891,73.2%,1150-1330,24-30
Point Loma Nazarene University,Yes,2021,PLNU has adopted a one-year test optional policy for Fall 2021 applicants.,3277,73.7%,1140-1310,24-29
University of North Texas,Yes*,2021,University of North Texas requires either the SAT or ACT. However they will waive this requirement for students with a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,21540,73.7%,1060-1250,20-26
University of North Georgia,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,6498,73.7%,1108-1273,22-27
Xavier University,Yes,All / Permanent Policy,Xavier University offers a test optional policy which allows students to be considered for admission without test scores. However homeschooled students are not eligible for test optional admission.,15100,73.8%,1070-1250,22-28
Wheaton College (MA),Yes,All / Permanent Policy,Wheaton College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Wheaton encourages students whose first language is not English to submit their SAT or ACT scores along with the required English proficiency testing.,3460,73.9%,1150-1340,27-32
Eastern Michigan,Yes*,2021,Eastern Michigan University has adopted a one-year test optional policy for students with a 2.5+ GPA applying in the 2020-21 admission cycle.,14323,74.1%,970-1190,19-25
University of Washington--Bothell,Yes,2021,The University of Washington--Bothell has adopted a one-year test optional policy for firstyear applicants both domestic and international in the 2020-21 admission cycle.,4242,74.1%,1038-1250,19-28
Adelphi University,Yes,2021,Adelphi University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,13006,74.2%,1080-1270,22-27
Baldwin Wallace University,Yes,All / Permanent Policy,Baldwin Wallace University offers a test optional policy which allows students to be considered for admission without test scores. However home schooled students are not eligible for test optional admission.,3926,74.2%,1030-1250,21-27
Michigan Technological University,Yes,2021,Michigan Technological University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However homeschooled students and students applying for merit scholarships must submit test scores.,5978,74.3%,1170-1370,25-30
Drexel University,Yes,2021,Drexel University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,31824,74.7%,1190-1390,25-31
University of Redlands,Yes,All / Permanent Policy,University of Redlands offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,4713,75.0%,1100-1250,23-28
